epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,27656.5,1.18253,0.58226,0.84141,0.92662,0.82887,0.88774,0.60484,1.10499,0.51507,0.82572,0.0091189,0.0091189,0.0091189
91,27956.4,1.1782,0.58095,0.84156,0.92712,0.82893,0.8882,0.60507,1.10421,0.51467,0.82564,0.009109,0.009109,0.009109
92,28258.6,1.17997,0.58141,0.84047,0.92634,0.82941,0.88776,0.60512,1.10398,0.51457,0.82559,0.0090991,0.0090991,0.0090991
93,28555.6,1.1803,0.58117,0.84072,0.92589,0.83004,0.88784,0.6055,1.10348,0.51411,0.82556,0.0090892,0.0090892,0.0090892
94,28857.8,1.17817,0.57923,0.84105,0.92634,0.83011,0.88782,0.60554,1.10301,0.51385,0.82548,0.0090793,0.0090793,0.0090793
95,29166.9,1.17794,0.57915,0.84042,0.92605,0.83043,0.88794,0.60579,1.10279,0.51355,0.82543,0.0090694,0.0090694,0.0090694
96,29472.3,1.18078,0.58182,0.84042,0.9261,0.83072,0.88795,0.6059,1.10237,0.51327,0.82532,0.0090595,0.0090595,0.0090595
97,29779.2,1.18032,0.58053,0.84007,0.9265,0.83073,0.8885,0.6062,1.10179,0.51304,0.82525,0.0090496,0.0090496,0.0090496
98,30084.5,1.17494,0.57797,0.84019,0.9259,0.83127,0.88847,0.60639,1.10141,0.51271,0.82518,0.0090397,0.0090397,0.0090397
99,30395.4,1.17858,0.58053,0.84019,0.92591,0.83152,0.88881,0.6066,1.10067,0.51239,0.82508,0.0090298,0.0090298,0.0090298
100,30705.9,1.17896,0.57963,0.84066,0.9262,0.83194,0.88923,0.60659,1.10041,0.51225,0.82499,0.0090199,0.0090199,0.0090199
101,31008.4,1.17472,0.57791,0.84004,0.92668,0.83181,0.88934,0.60685,1.0997,0.51209,0.82489,0.00901,0.00901,0.00901
102,31312.2,1.17295,0.57718,0.83942,0.92594,0.83219,0.88938,0.60718,1.09941,0.51196,0.82481,0.0090001,0.0090001,0.0090001
103,31611.2,1.17689,0.57954,0.84026,0.92643,0.83218,0.88946,0.60717,1.09896,0.51184,0.82475,0.0089902,0.0089902,0.0089902
104,31914.5,1.17761,0.57905,0.84045,0.92682,0.83263,0.88942,0.60702,1.09853,0.51164,0.82465,0.0089803,0.0089803,0.0089803
105,32220.8,1.17708,0.57813,0.83967,0.92645,0.83308,0.88968,0.60738,1.09819,0.51159,0.82458,0.0089704,0.0089704,0.0089704
106,32528.1,1.17785,0.57913,0.83978,0.9271,0.83312,0.89008,0.60751,1.09782,0.51128,0.82454,0.0089605,0.0089605,0.0089605
107,32832.7,1.17738,0.57878,0.84038,0.92663,0.83326,0.89042,0.60766,1.0975,0.51131,0.82447,0.0089506,0.0089506,0.0089506
108,33133.4,1.17284,0.57651,0.83997,0.92706,0.83273,0.8901,0.60775,1.09708,0.51113,0.82435,0.0089407,0.0089407,0.0089407
